NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,2007,,2540,17370,,Energy
Housing & Community,Commerce and Housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,2007,,280,620,,"Education, training, employment, and social services"
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,2007,,7410,16130,,Transportation
Housing & Community,Commerce and Housing,Exclusion of interest on rental housing bonds,2007,,260,570,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,2007,,0,20,,International affairs
Commerce,Commerce and Housing,Exclusion of interest on small issue bonds,2007,,110,240,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,2007,,140,300,,Health
Veterans Benefits,Veterans' benefits and services,Exclusion of interest on veterans housing bonds,2007,,10,20,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest spread of financial institutions,2007,,0,520,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,2007,,0,100,,
Housing & Community,Commerce and Housing,Exclusion of net imputed rental income,2007,,0,3890,,Commerce and transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2007,,0,300,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2007,,0,2100,,
Education,"Education, training, employment, and social services",Exclusion of parsonage allowances,2007,,0,510,,
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,2007,,0,470,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,2007,,0,380,,Energy
Transportation,Transportation,Exclusion of reimbursed employee parking expenses,2007,,0,2830,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),2007,,0,1870,,Energy
Veterans Benefits,Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,2007,Exclusion of social security benefits: Benefits for disabled,0,5050,,Commerce and transportation
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,2007,,0,17690,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",2007,Exlcusion of social security benefits: Social Security benefits for dependents and survivors,0,3270,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,2007,,0,50,,Community and Regional Development
Energy & Environment,Energy,Exclusion of utility conservation subsidies,2007,,0,120,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,2007,,0,3760,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,2007,,0,180,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,2007,,0,5740,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Exemption of certain mutuals' and cooperatives' income,2007,,70,0,,International affairs
Housing & Community,Commerce and Housing,Exemption of credit union income,2007,,1310,0,,Commerce and housing
Energy & Environment,Natural resources and environment,Expensing of capital costs with respect to complying with EPA sulfur regulations,2007,,10,0,,Interest
Food & Agriculture,Agriculture,Expensing of certain capital outlays,2007,,10,100,,Commerce and housing credit
Food & Agriculture,Agriculture,Expensing of certain multiperiod production costs,2007,,10,70,,Commerce and housing
Commerce,Commerce and Housing,Expensing of certain small investments (normal tax method),2007,,730,2930,,International affairs
Housing & Community,Community and regional development,Expensing of environmental remediation costs,2007,,250,50,,Energy
Energy & Environment,Energy,"Expensing of exploration and development costs, fuels ",2007,,460,70,,Commerce and housing credit
Energy & Environment,Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",2007,,10,0,,Income security
Energy & Environment,Natural resources and environment,Expensing of multiperiod timber growing costs,2007,,180,110,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,2007,,5090,100,,Commerce and housing credit
Commerce,Commerce and Housing,Graduated corporation income tax rate (normal tax method),2007,,5400,0,,Commerce and housing credit
Education,"Education, training, employment, and social services",HOPE tax credit,2007,,0,3370,,Health
Food & Agriculture,Agriculture,Income averaging for farmers,2007,,0,80,,Health
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,2007,,0,30,,Commerce and housing credit
International affairs,International affairs,Inventory property sales source rules exception,2007,,1940,0,,"Education, training, employment, and social services"
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),2007,,20,20,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Lifetime Learning tax credit,2007,,0,2210,,General government
Medicare & Health,Health,Medical Savings Accounts/ Health Savings Accounts,2007,,0,760,,Energy
Energy & Environment,Energy,Natural gas distribution pipelines treated as 15-year property,2007,,60,0,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: 401(k) plans,2007,,0,46000,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contribution and earnings: Individual Retirement Accounts,2007,,0,9500,,Income security
